"Time","Event",""
"00:00:32.382","Whats Rng casts  Sharpcast on Whats Rng",""
"00:00:33.051","Whats Rng casts  Surecast on Whats Rng",""
"00:00:33.939","Whats Rng begins casting  Despair on Fatebreaker",""
"00:00:36.212","Whats Rng casts  Despair on Fatebreaker",""
"00:00:36.880","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:00:37.994","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:00:39.198","Whats Rng begins casting  Thunder III on Fatebreaker",""
"00:00:41.021","Whats Rng casts  Thunder III on Fatebreaker",""
"00:00:41.643","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:00:42.755","Whats Rng casts  Fire III on Fatebreaker",""
"00:00:44.001","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:46.095","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:46.765","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:48.855","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:49.476","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:51.569","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:52.235","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:54.325","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:54.951","Whats Rng begins casting  Despair on Fatebreaker",""
"00:00:57.224","Whats Rng casts  Despair on Fatebreaker",""
"00:00:57.890","Whats Rng casts  Thunder III on Fatebreaker",""
"00:00:58.555","Whats Rng casts  Addle on Fatebreaker",""
"00:00:59.269","Whats Rng casts  Manaward on Whats Rng",""
"00:01:00.202","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:01:01.315","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:01:02.566","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:01:04.878","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:01:05.992","Whats Rng casts  Fire III on Fatebreaker",""
"00:01:06.616","Whats Rng casts  Triplecast on Whats Rng",""
"00:01:07.329","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:09.690","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:10.357","Whats Rng casts  Swiftcast on Whats Rng",""
"00:01:12.007","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:14.409","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:15.210","Whats Rng casts  Sharpcast on Whats Rng",""
"00:01:16.721","Whats Rng begins casting  Despair on Fatebreaker",""
"00:01:18.993","Whats Rng casts  Despair on Fatebreaker",""
"00:01:19.614","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:01:20.730","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:01:21.931","Whats Rng begins casting  Blizzard IV on Fatebreaker",""
"00:01:24.024","Whats Rng casts  Blizzard IV on Fatebreaker",""
"00:01:24.648","Whats Rng begins casting  Thunder III on Fatebreaker",""
"00:01:26.476","Whats Rng casts  Thunder III on Fatebreaker",""
"00:01:27.145","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:01:28.261","Whats Rng casts  Fire III on Fatebreaker",""
"00:01:28.839","Whats Rng casts  Ley Lines",""
"00:01:29.506","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:01:31.201","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:31.825","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:01:33.517","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:34.185","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:01:35.879","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:36.504","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:01:38.194","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:38.952","Whats Rng begins casting  Fire on Fatebreaker",""
"00:01:40.420","Whats Rng casts  Fire on Fatebreaker",""
"00:01:41.043","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:01:42.734","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:43.402","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:01:45.091","Whats Rng casts  Fire IV on Fatebreaker",""
"00:01:45.758","Whats Rng casts  Thunder III on Fatebreaker",""
"00:01:47.759","Whats Rng begins casting  Despair on Fatebreaker",""
"00:01:49.630","Whats Rng casts  Despair on Fatebreaker",""
"00:01:50.208","Whats Rng casts  Fire III on Fatebreaker",""
"00:01:52.213","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:01:53.059","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:01:54.217","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:01:56.176","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:01:57.020","Whats Rng casts  Fire III on Fatebreaker",""
"00:01:58.175","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:01:59.864","Whats Rng casts  Fire IV on Fatebreaker",""
"00:02:00.531","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:02:02.628","Whats Rng casts  Fire IV on Fatebreaker",""
"00:02:03.293","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:02:05.389","Whats Rng casts  Fire IV on Fatebreaker",""
"00:02:06.013","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:02:08.106","Whats Rng casts  Fire IV on Fatebreaker",""
"00:02:08.729","Whats Rng begins casting  Despair on Fatebreaker",""
"00:02:10.999","Whats Rng casts  Despair on Fatebreaker",""
"00:02:11.667","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:02:12.782","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:02:13.984","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:02:16.342","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:02:17.454","Whats Rng casts  Fire III on Fatebreaker",""
"00:02:18.166","Whats Rng casts  Triplecast on Whats Rng",""
"00:02:18.878","Whats Rng casts  Fire IV on Fatebreaker",""
"00:02:21.196","Whats Rng casts  Fire IV on Fatebreaker",""
"00:02:21.862","Whats Rng casts  Swiftcast on Whats Rng",""
"00:02:23.513","Whats Rng casts  Fire IV on Fatebreaker",""
"00:02:25.873","Whats Rng casts  Despair on Fatebreaker",""
"00:02:28.184","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:02:29.298","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:02:30.590","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:02:33.572","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:02:36.063","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:02:41.587","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:02:44.123","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:02:48.395","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:02:50.889","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:02:55.560","Whats Rng casts  Surecast on Whats Rng",""
"00:02:56.359","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:02:58.229","Whats Rng casts  Sharpcast on Whats Rng",""
"00:03:00.633","Whats Rng casts  Ley Lines",""
"00:03:01.615","Whats Rng begins casting  Thunder III on Fatebreaker",""
"00:03:03.084","Whats Rng casts  Thunder III on Fatebreaker",""
"00:03:03.709","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:03:04.598","Whats Rng casts  Fire III on Fatebreaker",""
"00:03:05.708","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:07.400","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:08.022","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:09.715","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:10.383","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:12.076","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:12.700","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:14.393","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:15.062","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:16.757","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:17.425","Whats Rng begins casting  Despair on Fatebreaker",""
"00:03:19.294","Whats Rng casts  Despair on Fatebreaker",""
"00:03:19.962","Whats Rng casts  Thunder III on Fatebreaker",""
"00:03:20.630","Whats Rng casts  Triplecast on Whats Rng",""
"00:03:21.564","Whats Rng casts  Manafont on Whats Rng",""
"00:03:22.232","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:03:23.033","Whats Rng casts  Addle on Fatebreaker",""
"00:03:24.192","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:26.198","Whats Rng casts  Despair on Fatebreaker",""
"00:03:28.158","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:03:29.048","Whats Rng casts  Sharpcast on Whats Rng",""
"00:03:30.204","Whats Rng casts  Thunder III on Fatebreaker",""
"00:03:32.166","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:03:33.280","Whats Rng casts  Fire III on Fatebreaker",""
"00:03:34.484","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:36.579","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:37.247","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:39.342","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:39.966","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:42.056","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:42.724","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:03:44.816","Whats Rng casts  Fire IV on Fatebreaker",""
"00:03:45.439","Whats Rng begins casting  Despair on Fatebreaker",""
"00:03:47.710","Whats Rng casts  Despair on Fatebreaker",""
"00:03:48.379","Whats Rng casts  Thunder III on Fatebreaker",""
"00:03:50.696","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:03:51.810","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:03:53.101","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:03:55.418","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:03:57.733","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:03:58.843","Whats Rng casts  Fire III on Fatebreaker",""
"00:03:59.466","Whats Rng casts  Swiftcast on Whats Rng",""
"00:04:00.313","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:02.628","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:04.720","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:05.298","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:07.395","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:08.065","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:10.154","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:10.779","Whats Rng begins casting  Despair on Fatebreaker",""
"00:04:13.048","Whats Rng casts  Despair on Fatebreaker",""
"00:04:13.673","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:04:14.787","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:04:15.500","Whats Rng casts  Sharpcast on Whats Rng",""
"00:04:16.213","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:04:18.573","Whats Rng begins casting  Thunder III on Fatebreaker",""
"00:04:20.400","Whats Rng casts  Thunder III on Fatebreaker",""
"00:04:21.023","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:04:22.137","Whats Rng casts  Fire III on Fatebreaker",""
"00:04:23.384","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:25.476","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:26.234","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:28.327","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:28.994","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:31.083","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:31.708","Whats Rng casts  Triplecast on Whats Rng",""
"00:04:32.420","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:33.088","Whats Rng casts  Ley Lines",""
"00:04:34.733","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:36.737","Whats Rng casts  Despair on Fatebreaker",""
"00:04:37.539","Whats Rng casts  Item_Fbfb3 on Whats Rng",""
"00:04:38.740","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:04:39.587","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:04:40.742","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:04:42.744","Whats Rng casts  Thunder III on Fatebreaker",""
"00:04:44.704","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:04:45.594","Whats Rng casts  Fire III on Fatebreaker",""
"00:04:46.708","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:48.397","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:49.109","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:50.800","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:51.380","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:53.070","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:53.692","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:04:55.385","Whats Rng casts  Fire IV on Fatebreaker",""
"00:04:56.051","Whats Rng begins casting  Despair on Fatebreaker",""
"00:04:57.919","Whats Rng casts  Despair on Fatebreaker",""
"00:04:58.586","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:04:59.432","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:05:00.100","Whats Rng casts  Sharpcast on Whats Rng",""
"00:05:00.811","Whats Rng begins casting  Blizzard IV on Fatebreaker",""
"00:05:02.502","Whats Rng casts  Blizzard IV on Fatebreaker",""
"00:05:03.124","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:05:05.125","Whats Rng begins casting  Thunder III on Fatebreaker",""
"00:05:06.946","Whats Rng casts  Thunder III on Fatebreaker",""
"00:05:07.612","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:05:08.725","Whats Rng casts  Fire III on Fatebreaker",""
"00:05:09.348","Whats Rng casts  Swiftcast on Whats Rng",""
"00:05:10.060","Whats Rng casts  Fire IV on Fatebreaker",""
"00:05:12.374","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:05:14.463","Whats Rng casts  Fire IV on Fatebreaker",""
"00:05:15.128","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:05:17.218","Whats Rng casts  Fire IV on Fatebreaker",""
"00:05:17.840","Whats Rng begins casting  Fire on Fatebreaker",""
"00:05:19.667","Whats Rng casts  Fire on Fatebreaker",""
"00:05:20.336","Whats Rng casts  Thunder III on Fatebreaker",""
"00:05:22.647","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:05:24.738","Whats Rng casts  Fire IV on Fatebreaker",""
"00:05:25.360","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:05:27.450","Whats Rng casts  Fire IV on Fatebreaker",""
"00:05:28.118","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:05:30.210","Whats Rng casts  Fire IV on Fatebreaker",""
"00:05:30.833","Whats Rng begins casting  Despair on Fatebreaker",""
"00:05:33.102","Whats Rng casts  Despair on Fatebreaker",""
"00:05:33.813","Whats Rng casts  Xenoglossy on Fatebreaker",""
"00:05:36.125","Whats Rng begins casting  Blizzard III on Fatebreaker",""
"00:05:37.240","Whats Rng casts  Blizzard III on Fatebreaker",""
"00:05:37.998","Whats Rng casts  Sharpcast on Whats Rng",""
"00:05:38.709","Whats Rng casts  Thunder III on Fatebreaker",""
"00:05:41.065","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:05:42.176","Whats Rng casts  Fire III on Fatebreaker",""
"00:05:42.889","Whats Rng casts  Triplecast on Whats Rng",""
"00:05:43.602","Whats Rng casts  Fire IV on Fatebreaker",""
"00:05:45.914","Whats Rng casts  Fire IV on Fatebreaker",""
"00:05:48.272","Whats Rng casts  Despair on Fatebreaker",""
"00:05:50.583","Whats Rng casts  Thunder III on Fatebreaker",""
"00:05:52.361","Whats Rng casts  Transpose on Whats Rng",""
"00:05:53.072","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:05:55.427","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:05:57.737","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:00.096","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:04.228","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:06.719","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:09.029","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:13.839","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:16.152","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:19.092","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:21.230","Whats Rng casts  Surecast on Whats Rng",""
"00:06:23.148","Whats Rng casts  Umbral Soul on Whats Rng",""
"00:06:24.524","Whats Rng casts  Sharpcast on Whats Rng",""
"00:06:27.379","Whats Rng casts  Ley Lines",""
"00:06:28.045","Whats Rng begins casting  Thunder III on Fatebreaker",""
"00:06:29.516","Whats Rng casts  Thunder III on Fatebreaker",""
"00:06:30.185","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:06:31.031","Whats Rng casts  Fire III on Fatebreaker",""
"00:06:32.144","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:06:33.838","Whats Rng casts  Fire IV on Fatebreaker",""
"00:06:34.505","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:06:36.198","Whats Rng casts  Fire IV on Fatebreaker",""
"00:06:36.820","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:06:38.510","Whats Rng casts  Fire IV on Fatebreaker",""
"00:06:39.179","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:06:40.873","Whats Rng casts  Fire IV on Fatebreaker",""
"00:06:41.495","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:06:43.188","Whats Rng casts  Fire IV on Fatebreaker",""
"00:06:43.856","Whats Rng begins casting  Despair on Fatebreaker",""
"00:06:45.725","Whats Rng casts  Despair on Fatebreaker",""
"00:06:46.394","Whats Rng casts  Thunder III on Fatebreaker",""
"00:06:47.151","Whats Rng casts  Manafont on Whats Rng",""
"00:06:48.356","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:06:50.052","Whats Rng casts  Fire IV on Fatebreaker",""
"00:06:50.763","Whats Rng begins casting  Despair on Fatebreaker",""
"00:06:52.631","Whats Rng casts  Despair on Fatebreaker",""
